#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor
#nh4no3_5,20.0,1000,200,450,4,1,1,1.0152170736012073e-08
freq, real, imaginary, concentration
,freq,0.65,1.25,2.5,5.0,7.5,10.0,15.0,30.0
211,43200,90.109,89.654,88.447,87.798,86.191,83.814,82.828,78.906
212,43400,90.106,89.650,88.444,87.794,86.189,83.814,82.828,78.905
213,43600,90.104,89.647,88.442,87.796,86.185,83.815,82.821,78.906
214,43800,90.101,89.643,88.437,87.794,86.179,83.816,82.826,78.894
215,44000,90.094,89.642,88.439,87.791,86.180,83.815,82.828,78.906
216,44200,90.091,89.642,88.438,87.792,86.182,83.819,82.829,78.906
217,44400,90.092,89.641,88.438,87.791,86.181,83.823,82.833,78.909
218,44600,90.089,89.638,88.437,87.789,86.177,83.824,82.832,78.909
219,44800,90.088,89.636,88.435,87.787,86.174,83.825,82.831,78.905
220,45000,90.079,89.633,88.433,87.791,86.176,83.821,82.834,78.906
221,45200,90.084,89.631,88.432,87.788,86.171,83.830,82.831,78.915
222,45400,90.081,89.630,88.430,87.785,86.168,83.827,82.830,78.848
223,45600,90.080,89.628,88.426,87.781,86.167,83.827,82.830,78.915
224,45800,90.076,89.621,88.425,87.781,86.166,83.829,82.832,78.915
225,46000,90.076,89.620,88.425,87.779,86.164,83.832,82.832,78.915
226,46200,90.073,89.621,88.425,87.779,86.165,83.834,82.833,78.919
227,46400,90.073,89.620,88.425,87.781,86.167,83.837,82.836,78.922
228,46600,90.071,89.619,88.424,87.778,86.167,83.839,82.835,78.923
229,46800,90.069,89.616,88.424,87.778,86.168,83.838,82.836,78.925
230,47000,90.066,89.611,88.423,87.775,86.164,83.841,82.835,78.924
231,47200,90.062,89.610,88.421,87.777,86.166,83.844,82.839,78.928
232,47400,90.062,89.610,88.419,87.773,86.165,83.843,82.839,78.929
233,47600,90.061,89.606,88.418,87.772,86.165,83.848,82.842,78.955
234,47800,90.062,89.604,88.417,87.769,86.163,83.848,82.838,78.936
235,48000,90.058,89.603,88.415,87.770,86.166,83.848,82.841,78.937
236,48200,90.057,89.601,88.412,87.766,86.167,83.853,82.843,78.933
237,48400,90.053,89.598,88.413,87.767,86.164,83.851,82.841,78.942
238,48600,90.051,89.596,88.415,87.766,86.167,83.854,82.844,78.939
239,48800,90.049,89.594,88.411,87.764,86.165,83.856,82.845,78.933
