#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor, unit
#nh4no3_t_10ppm,20.0,1000,200,450,4,1,1,1.0152170736012073e-08,mgL
freq, real, imaginary, concentration
124,25800,84.239,84.932,84.831,85.150,85.367,85.576,85.795,86.131,85.536,85.775
125,26000,84.235,84.923,84.820,85.142,85.360,85.564,85.788,86.121,85.527,85.763
126,26200,84.224,84.914,84.812,85.133,85.352,85.554,85.776,86.113,85.517,85.754
127,26400,84.229,84.911,84.808,85.129,85.344,85.547,85.769,86.110,85.517,85.748
128,26600,84.232,84.913,84.806,85.131,85.345,85.550,85.773,86.109,85.516,85.747
129,26800,84.234,84.910,84.811,85.129,85.350,85.549,85.770,86.109,85.517,85.751
130,27000,84.228,84.914,84.805,85.125,85.346,85.548,85.768,86.106,85.515,85.753
131,27200,84.235,84.905,84.799,85.121,85.340,85.541,85.765,86.101,85.508,85.740
132,27400,84.236,84.909,84.799,85.121,85.328,85.540,85.759,86.096,85.501,85.740
133,27600,84.232,84.890,84.787,85.111,85.327,85.535,85.754,86.091,85.504,85.734
134,27800,84.220,84.890,84.786,85.101,85.322,85.524,85.748,86.084,85.496,85.729
135,28000,84.225,84.886,84.780,85.097,85.318,85.522,85.743,86.081,85.489,85.721
136,28200,84.233,84.881,84.775,85.095,85.317,85.519,85.741,86.077,85.485,85.719
137,28400,84.231,84.881,84.773,85.093,85.314,85.516,85.737,86.078,85.486,85.721
138,28600,84.230,84.875,84.770,85.088,85.313,85.514,85.733,86.072,85.480,85.719
139,28800,84.220,84.871,84.763,85.084,85.306,85.507,85.729,86.069,85.474,85.711
140,29000,84.223,84.865,84.759,85.079,85.302,85.503,85.725,86.067,85.469,85.711
141,29200,84.227,84.861,84.752,85.075,85.295,85.500,85.725,86.060,85.467,85.705
142,29400,84.220,84.863,84.751,85.072,85.294,85.496,85.715,86.060,85.463,85.707
143,29600,84.222,84.861,84.748,85.070,85.291,85.493,85.715,86.056,85.461,85.701
144,29800,84.223,84.855,84.745,85.065,85.285,85.491,85.707,86.047,85.455,85.696
145,30000,84.227,84.850,84.736,85.060,85.278,85.479,85.703,86.043,85.451,85.688
146,30200,84.222,84.844,84.735,85.057,85.275,85.477,85.701,86.037,85.451,85.684
147,30400,84.224,84.846,84.730,85.050,85.271,85.482,85.694,86.039,85.443,85.685
148,30600,84.221,84.846,84.731,85.049,85.270,85.476,85.694,86.029,85.447,85.685
149,30800,84.227,84.842,84.728,85.049,85.273,85.472,85.696,86.029,85.443,85.678
150,31000,84.231,84.843,84.733,85.048,85.270,85.468,85.692,86.033,85.439,85.674
151,31200,84.235,84.837,84.722,85.041,85.260,85.466,85.683,86.027,85.435,85.672
152,31400,84.230,84.832,84.718,85.038,85.265,85.462,85.684,86.023,85.433,85.673
153,31600,84.234,84.830,84.717,85.037,85.259,85.460,85.680,86.019,85.431,85.671
154,31800,84.234,84.829,84.714,85.034,85.249,85.457,85.675,86.017,85.426,85.668
155,32000,84.234,84.823,84.712,85.030,85.255,85.451,85.672,86.017,85.426,85.672
156,32200,84.231,84.825,84.705,85.028,85.251,85.456,85.672,86.012,85.424,85.663
157,32400,84.235,84.815,84.708,85.027,85.250,85.451,85.670,86.013,85.428,85.663
158,32600,84.235,84.815,84.704,85.021,85.243,85.445,85.665,86.005,85.421,85.655
159,32800,84.236,84.814,84.701,85.020,85.240,85.445,85.667,86.005,85.409,85.657
160,33000,84.231,84.806,84.692,85.017,85.236,85.435,85.656,85.998,85.411,85.657
161,33200,84.240,84.802,84.693,85.011,85.234,85.436,85.658,85.998,85.411,85.640
162,33400,84.237,84.815,84.694,85.010,85.235,85.441,85.658,85.994,85.416,85.648
163,33600,84.240,84.810,84.692,85.008,85.230,85.438,85.655,85.982,85.411,85.640
164,33800,84.249,84.805,84.684,85.002,85.221,85.426,85.647,85.982,85.406,85.642
165,34000,84.236,84.794,84.668,84.994,85.219,85.418,85.639,85.982,85.396,85.629
166,34200,84.236,84.792,84.676,84.994,85.215,85.416,85.633,85.979,85.394,85.634
167,34400,84.251,84.796,84.676,84.996,85.219,85.419,85.638,85.978,85.393,85.630
168,34600,84.252,84.798,84.683,84.997,85.216,85.419,85.642,85.979,85.396,85.643
169,34800,84.247,84.800,84.678,84.998,85.218,85.418,85.639,85.978,85.397,85.636
170,35000,84.251,84.796,84.674,84.992,85.215,85.416,85.636,85.975,85.394,85.629
171,35200,84.243,84.791,84.672,84.991,85.209,85.412,85.632,85.967,85.390,85.627
172,35400,84.245,84.787,84.669,84.986,85.207,85.413,85.630,85.967,85.386,85.624
173,35600,84.259,84.785,84.666,84.983,85.205,85.408,85.626,85.965,85.386,85.621
174,35800,84.251,84.781,84.665,84.980,85.202,85.404,85.620,85.962,85.382,85.617
175,36000,84.258,84.780,84.660,84.980,85.200,85.402,85.619,85.958,85.380,85.614
176,36200,84.253,84.780,84.658,84.977,85.197,85.399,85.616,85.956,85.376,85.615
177,36400,84.257,84.778,84.659,84.973,85.196,85.399,85.617,85.954,85.374,85.612
178,36600,84.255,84.775,84.654,84.974,85.194,85.398,85.614,85.955,85.378,85.611
179,36800,84.257,84.777,84.653,84.973,85.194,85.397,85.612,85.954,85.375,85.612
180,37000,84.262,84.774,84.655,84.968,85.194,85.395,85.611,85.953,85.374,85.611
181,37200,84.259,84.772,84.653,84.969,85.189,85.394,85.608,85.950,85.369,85.611
182,37400,84.267,84.771,84.652,84.967,85.186,85.388,85.607,85.949,85.371,85.607
183,37600,84.270,84.770,84.649,84.963,85.188,85.387,85.603,85.952,85.369,85.603
184,37800,84.265,84.770,84.644,84.961,85.182,85.384,85.604,85.943,85.363,85.604
185,38000,84.270,84.765,84.645,84.959,85.179,85.383,85.598,85.940,85.362,85.597
186,38200,84.272,84.762,84.640,84.957,85.180,85.377,85.596,85.936,85.356,85.593
187,38400,84.275,84.765,84.641,84.958,85.180,85.377,85.597,85.933,85.362,85.595
188,38600,84.273,84.763,84.644,84.959,85.181,85.377,85.597,85.935,85.360,85.596
189,38800,84.273,84.765,84.642,84.955,85.174,85.378,85.593,85.931,85.356,85.595
190,39000,84.273,84.758,84.639,84.955,85.178,85.375,85.594,85.929,85.352,85.595
191,39200,84.282,84.754,84.635,84.949,85.172,85.375,85.590,85.926,85.356,85.590
192,39400,84.289,84.761,84.634,84.952,85.166,85.368,85.592,85.922,85.358,85.579
193,39600,84.285,84.755,84.633,84.951,85.173,85.373,85.587,85.928,85.347,85.587
194,39800,84.292,84.757,84.629,84.947,85.174,85.365,85.592,85.931,85.359,85.586
195,40000,84.291,84.755,84.633,84.955,85.166,85.372,85.583,85.925,85.352,85.588
196,40200,84.292,84.757,84.634,84.946,85.164,85.368,85.586,85.926,85.362,85.593
197,40400,84.291,84.756,84.629,84.940,85.160,85.363,85.581,85.915,85.344,85.581
198,40600,84.292,84.748,84.624,84.941,85.158,85.359,85.576,85.914,85.342,85.579
199,40800,84.292,84.744,84.622,84.937,85.165,85.358,85.571,85.916,85.340,85.587
200,41000,84.300,84.748,84.624,84.936,85.158,85.359,85.572,85.912,85.344,85.582
201,41200,84.298,84.743,84.624,84.936,85.159,85.360,85.571,85.910,85.338,85.579
202,41400,84.302,84.745,84.623,84.934,85.157,85.356,85.572,85.909,85.342,85.577
203,41600,84.304,84.742,84.618,84.932,85.152,85.352,85.566,85.904,85.337,85.573
204,41800,84.302,84.742,84.613,84.929,85.148,85.348,85.562,85.900,85.336,85.570
205,42000,84.306,84.741,84.615,84.926,85.147,85.342,85.563,85.901,85.338,85.570
206,42200,84.304,84.741,84.618,84.927,85.148,85.349,85.564,85.899,85.332,85.572
207,42400,84.315,84.742,84.617,84.930,85.150,85.351,85.563,85.900,85.336,85.570
208,42600,84.317,84.741,84.616,84.927,85.148,85.353,85.562,85.902,85.335,85.573
209,42800,84.312,84.742,84.614,84.928,85.147,85.349,85.560,85.903,85.329,85.571
210,43000,84.317,84.738,84.613,84.925,85.146,85.347,85.560,85.899,85.333,85.570
211,43200,84.322,84.740,84.613,84.926,85.144,85.346,85.558,85.897,85.333,85.570
212,43400,84.336,84.732,84.610,84.921,85.143,85.342,85.556,85.893,85.328,85.565
