#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor
#nh4no3_4,20.0,1000,200,450,4,1,1,1.0152170736012073e-08
freq, real, imaginary, concentration
418,84600,5335.101605805713,7804.446001833751,12330.5137049537
419,84800,5334.720807447353,7803.568273072984,12326.172224118995
420,85000,5334.3116492586805,7802.2240628211375,12315.335617406183
421,85200,5334.739162395676,7802.163313729331,12310.273090509489
422,85400,5334.504403904178,7801.1943103787,12302.775485862168
423,85600,5334.356705086279,7801.075357176541,12297.986253338719
424,85800,5334.414755258297,7800.928128930449,12289.193736529003
425,86000,5334.561410590265,7799.879130477423,12288.344887809868
426,86200,5334.501775397887,7799.232375879491,12282.544987587304
427,86400,5334.483156922899,7798.1120186151675,12281.306110998026
428,86600,5335.016152647349,7798.294059702201,12278.506939649795
429,86800,5333.954684760089,7796.739386313324,12270.471910864097
430,87000,5331.931759675393,7794.215868870937,12267.908297731425
431,87200,5333.022785263267,7792.511027933866,12258.252678304982
432,87400,5332.553361517427,7792.55889583752,12254.687390592824
433,87600,5333.224906046425,7792.128774752461,12252.012906355116
434,87800,5333.902577379146,7792.564943399064,12253.578284886444
435,88000,5333.380876108771,7791.230334344941,12250.833273060092
436,88200,5333.402704096875,7790.288665816979,12241.377922847392
437,88400,5332.855068334328,7789.3174793859325,12238.568926937818
438,88600,5332.89203691949,7788.316808335197,12234.788790442386
439,88800,5332.264949045247,7788.539433111447,12232.847490591499
440,89000,5332.817397120889,7789.290396897365,12228.055568526079
441,89200,5333.105641295872,7786.877293069201,12222.974898344042
442,89400,5332.727012911078,7786.2130657796015,12219.04898284296
443,89600,5332.558964422964,7785.520895189388,12214.845270042077
444,89800,5332.91758711612,7783.931873142662,12208.72187503028
445,90000,5332.303522703758,7783.1392818971735,12205.636360278602
446,90200,5332.693908353005,7782.315453642091,12201.568914150223
447,90400,5332.417279632984,7782.786829598211,12199.814241460072
448,90600,5332.593910698216,7781.951067435314,12197.350292709974
449,90800,5330.980823383117,7779.455391634052,12192.520274134471
